reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.72933022,0.0093,0.372,0.959,24,45,753,14.846
-0.66950741,0.0128,0.577,0.972,29,8,762,12.858
-0.55445816,0.0096,0.379,0.913,24,5,632,10.887
-0.42229782,0.0148,0.494,0.818,30,8,513,13.712
-0.32917987,0.0108,0.596,0.932,26,12,598,13.363
-0.32699395,0.014,0.495,0.807,28,8,574,12.879
-0.31927158,0.014,0.496,0.871,30,8,526,12.847
-0.31629484,0.0141,0.52,0.889,25,8,917,14.303
-0.30807755,0.0111,0.539,0.864,26,9,489,13.548
-0.30417685,0.0141,0.533,0.916,25,8,468,13.164
-0.29322094,0.0111,0.539,0.934,26,10,506,13.08
-0.29063035,0.0094,0.568,0.861,27,6,601,13.527
-0.28921709,0.0147,0.673,0.884,23,6,627,12.682
-0.28587,0.0111,0.536,0.935,26,10,506,13.459
-0.27507056,0.0098,0.526,0.909,25,9,496,13.909
-0.26954696,0.0141,0.532,0.891,23,8,537,14.734
-0.26599991,0.0072,0.275,0.91,24,95,894,14.371
-0.26592745,0.0138,0.573,0.965,29,10,916,13.717
-0.26586132,0.0109,0.674,0.959,3,11,631,12.24
-0.26555732,0.0111,0.539,0.877,26,9,489,13.548
-0.26361292,0.0135,0.545,0.886,29,11,498,13.178
-0.26275143,0.0141,0.287,0.957,24,15,443,14.689
-0.26237214,0.014,0.495,0.871,30,8,530,12.847
-0.25373564,0.0085,0.527,0.896,18,8,564,14.214
-0.25324803,0.0145,0.531,0.867,27,8,580,14.9
-0.25235926,0.0141,0.504,0.903,26,10,511,13.833
-0.24964253,0.0109,0.574,0.977,25,8,533,12.919
-0.24612384,0.0106,0.535,0.934,27,8,526,13.602
-0.2403344,0.0145,0.531,0.867,1,8,580,14.9
-0.24022569,0.0111,0.545,0.948,25,8,483,13.328
-0.24017511,0.0148,0.343,1.0,24,13,430,12.807
-0.23717237,0.0064,0.623,0.894,1,7,662,13.35
-0.23314229,0.0094,0.451,0.805,29,9,577,13.689
-0.23183907,0.0101,0.514,0.846,30,9,593,14.616
-0.22929579,0.0062,0.557,0.934,27,8,526,13.68
-0.22401176,0.015,0.495,0.807,29,8,574,12.879
-0.22393221,0.0114,0.477,0.826,29,11,496,14.171
-0.21968382,0.013,0.628,0.889,0,6,573,13.541
-0.21550333,0.0062,0.548,0.934,27,8,526,13.684
-0.21517808,0.0098,0.551,0.857,24,86,508,14.831
-0.21489912,0.014,0.539,0.935,26,10,513,13.45
-0.21310595,0.0105,0.726,0.938,18,9,496,14.88
-0.21288835,0.0113,0.379,0.908,24,9,763,15.0
-0.21264302,0.0095,0.566,0.874,20,10,621,13.475
-0.20973917,0.0147,0.564,0.884,23,6,638,12.682
-0.20917341,0.015,0.588,0.856,29,7,730,11.983
-0.20870228,0.0124,0.419,0.935,24,23,485,10.57
-0.20837389,0.0132,0.577,0.969,25,8,777,12.857
-0.20827427,0.0098,0.573,0.984,17,5,951,14.849
-0.2082384,0.0106,0.546,0.933,27,8,453,13.684
-0.20788012,0.0132,0.6,0.882,23,6,573,13.541
-0.20757212,0.0133,0.573,0.85,26,10,778,13.965
-0.20632517,0.008,0.53,0.88,23,9,505,14.982
-0.20592503,0.015,0.587,0.859,29,7,730,11.983
-0.20543384,0.0112,0.578,0.936,26,10,594,13.539
-0.20467243,0.014,0.528,0.826,25,8,514,14.786
-0.20301807,0.0095,0.445,0.924,3,9,712,14.796
-0.20190605,0.0145,0.553,0.865,26,8,539,13.706
-0.20097464,0.0144,0.478,0.815,29,11,497,13.996
-0.20073463,0.0149,0.449,0.972,24,22,497,10.218
-0.20004,0.0062,0.558,0.932,27,9,526,13.68
-0.1993284,0.0127,0.602,0.949,27,8,539,13.546
-0.1993251,0.0135,0.544,0.886,29,11,541,13.178
-0.19887247,0.0098,0.593,0.88,27,8,598,14.293
-0.19806652,0.012,0.335,0.836,24,148,24,13.159
-0.19604655,0.0145,0.553,0.906,26,10,539,13.726
-0.19485106,0.0103,0.552,0.932,25,9,519,13.428
-0.19311668,0.0109,0.539,0.864,26,9,489,13.548
-0.19281001,0.0095,0.494,0.871,30,8,574,13.52
-0.19211646,0.0109,0.539,0.934,26,10,483,13.394
-0.19190572,0.0148,0.491,0.824,1,6,529,13.555
-0.19152589,0.0099,0.564,0.975,26,8,588,12.496
-0.1907767,0.0109,0.539,0.935,26,10,513,13.45
-0.18986513,0.0137,0.571,0.884,26,10,609,14.254
-0.18688175,0.013,0.564,0.885,23,6,573,13.541
-0.18604704,0.014,0.577,0.998,18,8,498,14.323
-0.18534099,0.0143,0.548,0.947,27,8,556,13.897
-0.18447639,0.011,0.552,0.932,25,9,517,13.428
-0.18373828,0.0143,0.567,0.871,29,12,613,14.338
-0.18369792,0.0144,0.5,0.921,18,5,809,13.789
-0.18323288,0.0144,0.5,0.945,18,5,836,13.789
-0.18290364,0.0109,0.676,0.997,6,7,689,13.846
-0.18228687,0.0112,0.408,0.957,24,10,876,11.021
-0.18167213,0.0131,0.558,0.892,29,6,668,11.124
-0.1815819,0.0131,0.554,0.886,3,9,625,12.802
-0.18105073,0.0075,0.496,0.871,30,8,574,13.748
-0.17942821,0.0128,0.56,0.962,17,3,827,13.371
-0.17928145,0.0095,0.546,0.911,27,8,563,14.15
-0.17875533,0.0101,0.545,0.948,25,8,481,12.609
-0.17858065,0.0095,0.522,0.874,20,10,497,13.477
-0.17854474,0.0111,0.542,0.869,26,8,624,12.687
-0.17769587,0.0103,0.517,0.969,1,9,457,13.733
-0.17739653,0.0142,0.527,0.821,20,9,553,13.31
-0.17732973,0.0134,0.507,0.945,0,9,636,12.813
-0.17730111,0.009,0.573,0.885,1,8,583,14.102
-0.17724204,0.0111,0.497,0.876,29,9,542,12.995
-0.17550798,0.0142,0.503,0.894,23,8,537,14.734
-0.17479237,0.012,0.594,0.934,27,7,506,13.368
-0.17445149,0.01,0.621,0.926,3,12,661,12.95
-0.17360313,0.012,0.49,0.965,25,9,638,12.871
-0.17176057,0.0143,0.517,0.871,30,12,577,14.74
-0.17094219,0.014,0.452,0.644,2,7,776,13.288
-0.17023789,0.0095,0.566,0.874,20,10,620,13.475
-0.16962758,0.0111,0.481,0.891,29,11,900,14.495
-0.16920279,0.0124,0.59,0.939,22,8,893,13.003
-0.16872163,0.0108,0.49,0.921,26,10,514,14.983
-0.16865475,0.0141,0.532,0.891,1,8,601,14.915
-0.16728201,0.0142,0.495,0.94,22,11,690,14.509
-0.16715388,0.0108,0.492,0.893,29,11,887,14.256
-0.16636178,0.0143,0.484,0.932,25,9,612,12.96
-0.16585849,0.0081,0.594,0.982,25,8,536,12.489
-0.1647077,0.015,0.528,0.884,28,12,613,14.718
-0.16449948,0.0123,0.555,0.934,1,9,499,13.989
-0.16447769,0.0077,0.536,0.968,26,10,506,13.106
-0.16344427,0.0141,0.549,0.891,23,8,537,14.777
-0.16265622,0.014,0.495,0.902,30,8,530,12.847
-0.16255194,0.0134,0.489,0.96,2,11,466,12.698
-0.16253686,0.008,0.53,0.906,23,9,505,14.971
-0.16199229,0.0141,0.574,0.934,26,10,592,14.389
-0.16178429,0.01,0.553,0.913,3,10,705,12.158
-0.16086695,0.0087,0.442,0.919,24,17,531,9.566
-0.15976628,0.0107,0.478,0.891,29,11,907,14.45
-0.15976552,0.0146,0.538,0.892,30,10,526,13.7
-0.15955428,0.0106,0.461,0.887,15,4,568,11.936
-0.15921881,0.0128,0.622,0.889,0,6,573,13.527
-0.1580125,0.015,0.588,0.856,29,7,781,11.983
-0.15796865,0.0134,0.545,0.885,29,11,482,13.178
-0.15772903,0.0106,0.546,0.934,27,8,526,13.684
-0.15662808,0.0118,0.555,0.95,1,9,469,13.901
-0.15653871,0.014,0.571,0.881,29,13,609,14.254
-0.15610012,0.0141,0.504,0.903,26,10,511,13.827
-0.15600227,0.0127,0.463,0.947,24,33,483,10.644
-0.15599743,0.0067,0.435,0.908,2,12,625,13.594
-0.15591386,0.006,0.552,0.852,3,8,540,12.326
-0.15585685,0.0147,0.553,0.832,26,7,539,12.971
-0.15583229,0.0101,0.601,0.97,27,9,556,13.771
-0.15581381,0.0109,0.408,0.96,24,22,645,10.915
-0.15550848,0.0029,0.563,0.907,26,10,574,14.067
-0.1553901,0.0111,0.477,0.885,29,11,900,14.495
-0.15513859,0.0106,0.597,0.871,30,8,574,13.313
-0.15513783,0.012,0.59,0.942,23,8,777,13.37
-0.15509016,0.0111,0.478,0.874,30,11,487,14.172
-0.1550499,0.0121,0.5,0.902,18,5,831,14.964
-0.15427991,0.0114,0.052,0.961,5,13,775,12.993
-0.15396696,0.0142,0.527,0.821,20,9,517,13.31
-0.15384494,0.0111,0.536,0.934,26,10,506,14.083
-0.15384323,0.0134,0.536,0.973,25,9,862,13.91
-0.15376509,0.0112,0.5,0.933,18,5,831,14.964
-0.15338259,0.0095,0.578,0.805,29,9,577,13.702
-0.15317224,0.0113,0.552,0.908,26,10,506,13.308
-0.15303681,0.0134,0.536,0.987,25,9,839,13.835
-0.1528315,0.0082,0.427,0.965,24,23,711,10.57
-0.15229138,0.0089,0.408,0.956,24,23,636,11.021
-0.15195038,0.0114,0.493,0.918,28,11,808,13.749
-0.15189434,0.0111,0.478,0.891,29,11,900,14.45
-0.15183239,0.0101,0.499,0.872,18,5,796,14.899
-0.15181681,0.0098,0.552,0.881,27,8,508,13.776
-0.15155207,0.0067,0.435,0.917,2,12,478,13.594
-0.15151811,0.0063,0.435,0.815,2,12,459,13.623
-0.1513764,0.0079,0.425,0.873,26,15,886,14.763
-0.15120042,0.015,0.489,0.925,25,6,506,11.952
-0.15070713,0.0091,0.539,0.933,26,10,831,13.025
-0.15052671,0.0113,0.412,0.96,24,22,591,10.526
-0.15026,0.0112,0.463,0.876,29,9,500,13.41
-0.15017654,0.0111,0.545,0.948,25,8,479,13.328
-0.14976571,0.0132,0.577,0.969,25,8,772,12.857
-0.14958549,0.0111,0.527,0.934,26,10,493,14.083
-0.14941964,0.0092,0.549,0.973,1,7,525,13.02
-0.14939441,0.0096,0.448,0.984,24,27,910,13.628
-0.14822009,0.0127,0.361,0.692,24,12,742,13.491
-0.14780907,0.0141,0.577,0.953,25,10,582,13.847
-0.14720507,0.0144,0.495,0.85,29,8,593,12.847
-0.14679506,0.0111,0.552,0.934,27,7,506,13.368
-0.14621065,0.0108,0.563,0.891,25,8,463,13.621
-0.14617777,0.015,0.581,0.857,29,7,730,11.983
-0.14575906,0.0108,0.491,0.885,30,11,525,14.169
-0.14559105,0.0043,0.425,0.808,22,7,934,11.812
-0.14545096,0.0141,0.439,0.967,24,24,629,10.637
-0.14532641,0.01,0.581,0.929,3,12,623,12.942
-0.14497841,0.0109,0.518,0.949,27,7,525,13.691
-0.14467246,0.0069,0.478,0.905,30,5,527,11.142
-0.14449099,0.0109,0.408,0.935,24,22,606,10.999
-0.14424449,0.0092,0.534,0.924,22,9,745,14.003
-0.14417642,0.0116,0.576,0.99,23,8,981,14.908
-0.14413116,0.009,0.546,0.931,27,8,525,13.685
-0.14392759,0.0149,0.512,0.871,25,9,558,14.804
-0.14385653,0.0143,0.641,0.973,6,8,631,14.816
-0.14373325,0.0141,0.444,0.653,29,5,796,13.813
-0.14366643,0.0068,0.469,0.887,26,8,443,13.542
-0.14343254,0.0148,0.512,0.871,25,9,558,14.804
-0.14313375,0.0112,0.462,0.887,30,9,511,13.41
-0.14299097,0.01,0.408,0.956,24,22,626,11.021
-0.1428779,0.0112,0.552,0.908,26,10,506,13.308
-0.14249899,0.0121,0.555,0.873,23,7,811,13.327
-0.14246666,0.0109,0.546,0.965,26,8,533,11.713
-0.14241234,0.0094,0.553,0.913,7,10,645,12.086
-0.14140985,0.0094,0.491,0.855,1,6,591,13.958
-0.14131883,0.0141,0.511,0.904,26,10,470,13.85
-0.14118399,0.0111,0.552,0.934,27,7,506,13.368
-0.14111776,0.011,0.424,0.936,26,10,479,13.082
-0.14091212,0.0142,0.496,0.94,30,10,812,13.429
-0.14071074,0.0108,0.497,0.993,17,5,968,14.441
-0.14061232,0.0124,0.435,0.971,24,23,485,10.57
-0.14059741,0.0099,0.476,0.875,26,8,484,13.545
-0.14038037,0.007,0.422,0.881,27,4,525,12.121
-0.14004161,0.0091,0.54,0.933,26,10,811,13.025
-0.13989701,0.0091,0.54,0.925,3,12,645,13.889
-0.13951258,0.0098,0.552,0.881,27,7,499,13.776
