[-0.00199626],755,827,743,6,3,4
[-0.00145464],473,822,648,6,3,4
[-0.00105733],473,821,648,6,3,4
[-0.00075941],957,825,743,8,3,4
[-0.00074471],464,876,648,6,3,4
[-0.00069712],920,925,648,6,3,4
[-0.00065467],957,828,743,8,3,4
[-0.00051686],772,828,736,6,3,4
[-0.00051514],464,822,648,6,3,4
[-0.00048376],920,926,648,6,3,4
[-0.00034162],772,828,743,6,3,4
[-0.00030122],464,876,647,6,3,4
[-0.00023872],464,827,647,6,3,4
[-0.00021619],473,821,642,6,3,4
[-7.99627645e-05],827,828,743,6,3,4
[-5.58661268e-05],772,829,742,6,3,4
[-3.37000834e-05],988,734,956,8,4,8
[4.4442036e-06],951,928,957,8,8,8
[8.84480962e-06],989,953,949,8,8,8
[1.60421493e-05],956,868,954,8,8,8
[1.73337197e-05],896,988,955,8,8,8
[1.73608088e-05],473,821,628,6,3,4
[1.77569519e-05],949,934,660,8,8,8
[2.14060115e-05],948,934,796,8,8,8
[3.11229261e-05],756,873,954,8,8,8
[3.69108043e-05],897,988,935,8,8,8
[3.7436622e-05],965,924,793,1,3,8
[3.75329643e-05],927,924,793,1,3,8
[3.96647751e-05],896,988,926,8,8,8
[4.44762219e-05],949,940,930,8,8,8
[4.84405438e-05],964,956,865,8,8,8
[5.86538406e-05],949,924,802,8,1,8
