[-0.01641068],334,981,583,6,8,3
[-0.01294775],354,981,544,6,8,3
[-0.01202128],741,178,886,8,6,3
[-0.01136107],513,896,437,6,2,5
[-0.01019559],782,181,326,0,5,0
[-0.00968206],340,981,544,6,8,3
[-0.00771586],768,191,948,8,6,3
[-0.00698459],814,437,324,2,2,1
[-0.00607464],349,903,583,6,8,3
[-0.00589656],253,439,656,6,8,0
[-0.00482841],610,191,468,8,6,1
[-0.00461865],801,85,925,8,0,3
[-0.00436249],747,133,904,8,6,3
[-0.00413086],653,237,468,8,6,1
[-0.00384161],342,610,755,4,8,2
[-0.00371566],343,931,583,6,8,3
[-0.00351566],768,178,886,8,6,3
[-0.0034213],653,215,508,8,6,1
[-0.0031887],292,981,583,6,8,3
[-0.00298339],612,230,529,8,6,1
[-0.00295981],223,471,645,6,8,0
[-0.00280564],283,439,656,6,8,0
[-0.00266932],345,610,755,4,8,2
[-0.00255611],650,164,539,8,6,1
[-0.00235346],513,896,436,6,2,5
[-0.00232854],753,174,881,8,6,3
[-0.0021359],409,888,489,6,2,5
[-0.00211126],586,162,528,8,6,1
[-0.00190245],769,173,946,8,6,3
[-0.00190172],650,162,517,8,6,1
[-0.00186659],769,181,879,8,6,3
[-0.00176103],713,186,882,8,6,3
[-0.00172484],657,163,528,8,6,1
[-0.0016586],349,923,583,6,8,3
[-0.00159214],970,997,739,3,8,1
[-0.00155353],295,767,412,6,0,5
[-0.00150514],682,754,807,1,4,8
[-0.00148047],363,923,583,6,8,3
[-0.001432],600,109,648,8,2,5
[-0.00134363],817,434,326,2,2,1
[-0.0013111],339,923,583,6,8,3
[-0.00130241],759,186,884,8,6,3
[-0.00127015],609,109,648,8,2,5
[-0.00126027],679,151,514,8,6,1
[-0.00122806],814,434,326,2,2,1
[-0.00122486],653,215,490,8,6,1
[-0.00121859],245,444,656,6,8,0
[-0.00120176],339,914,583,6,8,3
[-0.00117184],738,186,913,8,6,3
[-0.00112236],284,922,522,2,2,5
[-0.00110935],793,170,924,8,6,3
[-0.00097971],759,186,881,8,6,3
[-0.00092628],291,981,583,6,8,3
[-0.00086522],921,387,475,4,1,8
