usd_gain,reward,PL_ratio,PL_count_mean,hold_ratio,slope_indicator,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-438.83,-5758.9829,4.596,0.177,2.856,1.0,0.0004,0.722,0.908,17,27,100,1.564
-421.98,-5741.514,0.751,1.109,0.871,1.0,0.0016,0.527,0.071,6,20,408,2.325
-432.11,-5663.8367,4.735,0.174,2.42,1.0,0.0003,0.965,0.802,10,18,166,1.016
-414.03,-5648.011,0.629,1.379,0.661,1.0,0.0024,0.025,0.154,24,122,194,4.94
-394.21,-5632.4936,0.399,2.275,0.313,1.0,0.0087,0.295,0.034,26,27,397,1.635
-418.09,-5567.7161,0.43,2.146,0.316,1.0,0.0091,0.207,0.45,20,26,471,1.138
-444.71,-5508.4657,2.627,0.299,2.592,1.0,0.0007,0.064,0.095,28,137,450,6.584
-407.49,-5484.8213,8.079,0.103,3.395,1.0,0.0002,0.358,0.366,30,165,475,1.039
-457.41,-5459.1356,2.435,0.323,2.318,1.0,0.0008,0.168,0.579,6,74,113,1.756
-351.84,-5455.4251,0.837,1.081,0.782,1.0,0.0013,0.495,0.072,16,35,328,1.832
-419.27,-5386.8671,0.684,1.192,0.79,1.0,0.0019,0.297,0.202,24,132,197,2.109
-357.79,-5363.7406,0.484,2.035,0.349,1.0,0.0057,0.03,0.091,24,96,116,5.19
-434.95,-5312.8762,2.264,0.351,2.011,1.0,0.0008,0.319,0.63,22,54,137,1.534
-461.37,-5311.7055,6.251,0.122,3.955,1.0,0.0004,0.159,0.333,9,34,357,5.73
-429.82,-5227.8191,0.391,2.177,0.307,1.0,0.0138,0.483,0.014,8,81,198,1.175
-344.54,-5224.303,0.502,1.941,0.348,1.0,0.0079,0.057,0.265,28,14,347,2.001
-412.89,-5181.2311,0.453,2.016,0.338,1.0,0.007,0.037,0.692,4,22,482,1.006
-366.08,-5052.5996,0.442,1.97,0.508,1.0,0.0027,0.124,0.069,22,55,76,2.192
-432.99,-5037.3574,0.922,0.89,0.923,1.0,0.0018,0.166,0.929,3,45,235,1.204
-376.52,-5014.891,0.261,3.572,0.199,1.0,0.0123,0.056,0.005,29,96,281,2.368
-351.08,-5002.616,0.966,0.873,1.616,1.0,0.0012,0.1,0.057,0,87,369,1.565
-446.03,-4924.204,7.642,0.104,4.141,1.0,0.0003,0.522,0.622,26,102,85,1.924
-456.5,-4846.3718,3.895,0.197,3.114,1.0,0.0006,0.383,0.609,12,28,127,2.925
-411.37,-4833.4433,1.811,0.442,2.369,1.0,0.0009,0.165,0.155,10,160,474,2.162
-423.25,-4803.0588,0.251,3.383,0.202,1.0,0.0134,0.014,0.007,16,280,211,5.843
-434.1,-4794.3509,0.532,1.694,0.474,1.0,0.0119,0.076,0.563,19,53,473,1.45
-397.8,-4780.6826,3.119,0.263,3.078,1.0,0.0006,0.104,0.415,3,181,281,1.77
-372.33,-4759.8626,0.449,2.122,0.356,1.0,0.0052,0.043,0.262,20,29,327,2.434
-414.6,-4754.0823,0.907,0.879,0.975,1.0,0.0015,0.331,0.051,16,131,255,2.78
-451.16,-4723.8116,3.303,0.223,2.872,1.0,0.0006,0.146,0.123,19,165,37,6.576
-344.0,-4714.9808,0.469,1.99,0.421,1.0,0.0039,0.269,0.004,4,20,68,2.548
-454.55,-4669.4639,4.181,0.186,3.328,1.0,0.0006,0.132,0.256,16,168,398,6.752
-343.06,-4604.5662,0.53,1.86,0.386,1.0,0.012,0.433,0.222,6,13,350,1.344
-351.33,-4578.8515,0.473,1.813,0.637,1.0,0.0024,0.121,0.012,20,95,432,3.261
-400.7,-4556.0856,2.933,0.275,3.618,1.0,0.0006,0.647,0.037,28,354,114,1.011
-486.68,-4529.9777,0.531,1.55,0.472,1.0,0.0141,0.1,0.22,8,58,132,4.24
-371.32,-4482.9496,0.454,2.045,0.378,1.0,0.0116,0.283,0.172,11,6,320,2.153
-343.2,-4417.6895,3.153,0.264,3.377,1.0,0.0006,0.415,0.821,4,6,449,1.33
-432.74,-4407.4098,2.958,0.265,2.731,1.0,0.0007,0.765,0.603,3,82,347,1.446
-441.03,-4387.5901,4.075,0.2,3.459,1.0,0.0007,0.123,0.89,20,82,5,2.698
-376.43,-4350.1487,0.343,2.527,0.313,1.0,0.0063,0.047,0.184,16,163,10,1.614
-415.68,-4341.6304,6.824,0.118,4.571,1.0,0.0004,0.035,0.569,20,132,6,3.898
-352.35,-4337.9491,0.395,2.262,0.379,1.0,0.0051,0.026,0.028,19,87,351,7.526
-391.62,-4327.384,1.331,0.582,2.605,1.0,0.0011,0.25,0.095,10,339,15,1.264
-394.45,-4303.6268,9.609,0.084,4.883,1.0,0.0003,0.081,0.516,18,37,51,5.396
-422.29,-4296.3756,0.96,0.834,1.038,1.0,0.0017,0.263,0.243,17,29,424,3.146
-354.73,-4278.145,0.48,1.972,0.384,1.0,0.0124,0.143,0.014,28,18,8,6.108
-446.11,-4240.404,2.127,0.356,2.238,1.0,0.001,0.136,0.877,8,236,168,1.45
-401.37,-4228.0097,1.251,0.627,1.321,1.0,0.0012,0.137,0.07,28,58,158,6.804
-358.65,-4195.4807,0.527,1.867,0.372,1.0,0.0125,0.053,0.222,6,13,149,4.012
-388.92,-4186.1515,0.341,2.64,0.266,1.0,0.0117,0.083,0.365,27,35,429,1.22
-419.95,-4133.9982,13.735,0.058,5.0,1.0,0.0002,0.15,0.91,7,180,231,2.157
-390.21,-4117.5768,0.439,2.048,0.356,1.0,0.0141,0.59,0.19,9,19,450,1.013
-414.14,-4098.805,0.856,0.919,0.996,1.0,0.0018,0.488,0.399,19,150,223,1.096
-456.92,-4096.0757,3.22,0.232,3.33,1.0,0.0007,0.953,0.36,16,448,317,1.107
-394.02,-4046.706,10.764,0.077,4.285,1.0,0.0002,0.233,0.316,10,169,342,2.383
-420.86,-4032.5317,2.026,0.385,2.212,1.0,0.0009,0.605,0.016,6,110,125,1.677
-432.84,-4017.0279,0.555,1.588,0.447,1.0,0.0079,0.152,0.455,13,58,12,2.212
-389.0,-4015.5607,6.759,0.116,2.496,1.0,0.0002,0.84,0.058,18,45,196,1.516
-403.64,-3956.1533,9.805,0.083,5.12,1.0,0.0003,0.051,0.256,16,238,293,8.87
-347.05,-3928.6319,2.223,0.371,3.549,1.0,0.0007,0.163,0.179,20,419,22,1.34
-393.19,-3922.7147,0.528,1.78,0.391,1.0,0.01,0.132,0.346,23,13,93,2.817
-390.44,-3898.2176,0.84,0.966,0.895,1.0,0.0019,0.247,0.802,30,58,249,1.137
-393.18,-3884.8353,2.529,0.322,2.633,1.0,0.0008,0.07,0.132,30,143,20,6.994
-428.18,-3875.4439,3.853,0.204,3.825,1.0,0.0006,0.511,0.362,8,446,42,1.722
-438.53,-3860.9238,12.81,0.063,4.58,1.0,0.0002,0.309,0.279,17,74,312,4.763
-404.24,-3854.9276,0.536,1.744,0.436,1.0,0.0072,0.382,0.716,18,15,236,1.676
-399.24,-3845.5056,6.117,0.133,4.048,1.0,0.0004,0.846,0.977,6,78,470,1.279
-405.65,-3841.1891,0.794,0.957,1.173,1.0,0.0019,0.118,0.322,8,367,47,1.525
-389.71,-3834.267,0.516,1.705,0.446,1.0,0.0084,0.633,0.272,7,30,69,1.379
-379.97,-3827.0015,0.326,2.752,0.251,1.0,0.0134,0.052,0.054,20,58,108,5.64
-399.22,-3799.022,0.455,2.015,0.33,1.0,0.0086,0.045,0.318,28,33,7,3.059
-377.97,-3762.6599,0.732,1.149,0.802,1.0,0.0021,0.888,0.735,27,20,207,1.144
-354.03,-3745.2795,0.525,1.637,0.631,1.0,0.0026,0.213,0.026,10,43,395,3.65
-425.2,-3731.298,1.679,0.463,1.693,1.0,0.0013,0.19,0.351,7,54,489,4.164
-381.55,-3657.7817,1.679,0.48,1.841,1.0,0.0011,0.003,0.143,29,150,210,6.723
-410.6,-3653.126,22.324,0.036,3.33,1.0,0.0001,0.085,0.858,22,85,235,2.013
-403.93,-3645.5039,15.463,0.053,5.485,1.0,0.0002,0.076,0.329,26,116,61,7.668
-380.41,-3630.89,2.118,0.388,2.677,1.0,0.0009,0.271,0.095,5,273,479,2.624
-325.74,-3620.1986,0.444,2.052,0.435,1.0,0.0037,0.484,0.048,6,34,247,1.106
-386.45,-3615.9894,1.07,0.756,1.076,1.0,0.0017,0.046,0.509,30,50,478,2.514
-378.58,-3605.9822,0.368,2.337,0.362,1.0,0.006,0.022,0.161,19,138,316,2.771
-341.01,-3593.2305,0.236,3.927,0.209,1.0,0.0115,0.002,0.027,13,282,282,2.067
-320.8,-3591.1395,0.442,2.025,0.476,1.0,0.0031,0.036,0.083,7,98,70,4.867
-366.53,-3532.5186,0.376,2.302,0.319,1.0,0.0103,0.213,0.138,16,127,203,1.585
-420.65,-3527.9237,1.966,0.38,2.021,1.0,0.0011,0.23,0.786,13,172,27,1.855
-412.62,-3526.546,1.602,0.489,1.662,1.0,0.0013,0.164,0.568,27,64,234,2.105
-364.07,-3500.5095,0.406,2.227,0.316,1.0,0.0136,0.348,0.266,3,35,373,1.398
-353.94,-3497.0843,11.394,0.075,4.564,1.0,0.0002,0.033,0.48,28,241,269,2.427
-391.9,-3490.2583,0.865,0.913,1.035,1.0,0.0019,0.161,0.495,3,107,441,1.543
-268.61,-3479.4854,0.609,1.654,0.453,1.0,0.0103,0.118,0.114,13,24,272,3.188
-325.13,-3478.0472,0.316,2.822,0.306,1.0,0.0058,0.03,0.127,12,59,480,1.997
-379.13,-3456.0976,8.594,0.09,3.142,1.0,0.0002,0.373,0.241,7,96,267,2.725
-346.59,-3455.8424,0.608,1.405,0.694,1.0,0.0024,0.598,0.394,1,32,483,1.16
-379.7,-3439.9269,2.434,0.328,3.25,1.0,0.0008,0.287,0.086,29,379,439,2.105
-349.44,-3436.6941,0.373,2.441,0.306,1.0,0.007,0.064,0.475,25,37,378,1.161
-350.5,-3418.7936,7.047,0.119,4.063,1.0,0.0003,0.358,0.35,3,172,252,1.981
-406.58,-3400.6209,0.483,1.827,0.394,1.0,0.013,0.65,0.507,9,20,340,1.064
-350.76,-3382.5196,0.467,1.975,0.406,1.0,0.005,0.071,0.554,12,28,253,1.516
-339.64,-3364.5243,3.757,0.229,3.896,1.0,0.0005,0.399,0.028,4,232,233,1.828
-358.0,-3324.2617,0.678,1.345,0.647,1.0,0.0054,0.798,0.78,19,34,346,1.009
-353.26,-3259.0553,0.406,2.132,0.378,1.0,0.0065,0.26,0.027,16,122,141,2.39
-416.63,-3231.9443,18.526,0.042,2.904,1.0,0.0001,0.764,0.226,27,144,343,1.151
-372.0,-3221.6764,1.11,0.711,1.272,1.0,0.0015,0.087,0.1,3,95,236,6.628
-426.24,-3213.626,0.615,1.424,0.605,1.0,0.0081,0.226,0.645,8,52,126,1.991
-441.25,-3188.9724,3.72,0.203,3.672,1.0,0.0008,0.431,0.858,19,251,92,2.121
-380.9,-3180.7552,0.63,1.426,0.662,1.0,0.0045,0.15,0.714,8,56,362,1.716
-393.85,-3172.4292,16.031,0.05,5.606,1.0,0.0002,0.093,0.55,19,256,379,4.089
-364.07,-3172.3347,0.374,2.363,0.311,1.0,0.0104,0.157,0.064,1,36,38,3.607
-323.48,-3170.6031,2.444,0.329,2.98,1.0,0.0009,0.081,0.224,10,4,318,5.905
-353.35,-3169.112,0.527,1.815,0.36,1.0,0.011,0.186,0.938,29,20,36,1.059
-346.7,-3144.6207,7.506,0.114,4.785,1.0,0.0003,0.642,0.506,1,192,334,1.055
-324.51,-3137.7554,10.0,0.088,4.36,1.0,0.0002,0.088,0.198,1,187,125,3.339
-325.93,-3121.2073,0.552,1.586,0.659,1.0,0.0025,0.337,0.197,21,28,176,1.651
-347.64,-3120.334,5.573,0.154,4.509,1.0,0.0004,0.663,0.261,4,204,331,1.334
-325.92,-3116.7829,0.555,1.631,0.481,1.0,0.0053,0.544,0.091,13,41,250,1.602
-407.26,-3110.1776,0.611,1.406,0.614,1.0,0.0107,0.475,0.25,19,43,165,2.64
-420.1,-3087.3876,19.775,0.038,3.08,1.0,0.0001,0.829,0.587,1,119,42,1.231
-337.02,-3086.4823,2.286,0.357,2.711,1.0,0.0008,0.155,0.259,28,230,411,2.003
-410.56,-3080.7058,7.55,0.103,5.345,1.0,0.0004,0.688,0.916,21,28,32,2.318
-344.57,-3049.0059,12.875,0.066,4.783,1.0,0.0002,0.076,0.802,1,136,215,1.875
