usd_gain,reward,PL_ratio,PL_count_mean,hold_ratio,slope_indicator,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-98.02,-52.3924,0.384,2.547,0.443,1.0,0.0146,0.647,0.264,30,272,93,3.756
-61.76,-52.38,0.589,1.611,0.645,1.0,0.0059,0.142,0.339,4,30,165,6.097
-129.54,-52.3753,7.712,0.11,18.027,1.0,0.0019,0.541,0.96,8,194,191,8.907
-113.95,-52.3627,4.481,0.199,12.843,1.0,0.0025,0.653,0.895,11,100,264,8.34
-144.36,-52.3266,0.928,0.929,1.474,1.0,0.01,0.068,0.647,12,29,441,8.768
-96.07,-52.3022,0.404,2.302,0.58,1.0,0.0105,0.623,0.897,6,348,476,1.648
-118.17,-52.2175,0.956,0.895,1.402,1.0,0.0071,0.221,0.844,17,37,322,7.597
-142.14,-52.1682,0.631,1.391,0.63,1.0,0.014,0.105,0.762,3,53,252,6.336
-76.7,-51.9478,0.722,1.214,1.192,1.0,0.0042,0.255,0.251,10,303,309,4.253
-86.1,-51.9109,0.368,2.602,0.527,1.0,0.0103,0.583,0.661,30,375,393,1.891
-85.14,-51.8585,1.695,0.512,2.781,1.0,0.0025,0.775,0.336,20,297,110,4.389
-80.44,-51.738,46.847,0.022,24.398,1.0,0.0002,0.786,0.827,31,214,123,2.672
-80.5,-51.7316,2.911,0.312,4.614,1.0,0.0017,0.787,0.479,30,360,172,4.091
-97.44,-51.6122,3.005,0.312,5.203,1.0,0.0031,0.094,0.764,7,52,110,6.346
-131.02,-51.5891,0.59,1.429,0.929,1.0,0.0103,0.294,0.625,27,275,238,7.366
-77.44,-51.5239,0.273,3.738,0.338,1.0,0.0144,0.167,0.045,25,346,78,7.817
-76.72,-51.5131,0.276,3.469,0.329,1.0,0.0144,0.118,0.194,6,296,279,4.234
-81.95,-51.5077,0.324,2.924,0.448,1.0,0.012,0.151,0.843,12,301,314,1.959
-64.68,-51.3988,0.421,1.991,0.981,1.0,0.006,0.082,0.665,24,363,255,1.652
-71.36,-51.3699,0.341,2.68,0.551,1.0,0.008,0.314,0.262,20,421,174,2.705
-108.9,-51.3552,0.442,2.153,0.537,1.0,0.0131,0.285,0.285,10,291,365,6.525
-51.3,-51.3495,0.192,4.587,0.578,1.0,0.0094,0.155,0.077,0,375,321,1.896
-83.03,-51.3136,0.407,2.345,0.558,1.0,0.0091,0.38,0.222,10,254,210,4.034
-77.08,-51.2675,1.487,0.586,2.428,1.0,0.0025,0.658,0.728,23,369,96,1.973
-67.42,-51.2008,0.687,1.326,1.05,1.0,0.0038,0.224,0.096,22,226,208,5.843
-75.66,-51.1535,0.501,1.931,0.473,1.0,0.0134,0.375,0.915,3,63,237,2.263
-126.71,-51.1484,0.563,1.545,0.783,1.0,0.0107,0.358,0.588,30,333,37,7.059
-85.79,-51.1429,0.624,1.498,0.88,1.0,0.0058,0.384,0.433,18,269,180,3.223
-100.53,-51.1119,0.579,1.61,0.635,1.0,0.0129,0.111,0.461,19,285,466,6.82
-78.18,-51.0583,0.477,2.011,0.579,1.0,0.0087,0.217,0.135,6,110,372,8.326
-116.32,-51.0296,0.707,1.248,0.978,1.0,0.0078,0.469,0.543,9,190,421,5.357
-72.1,-50.9735,0.517,1.832,0.504,1.0,0.0122,0.701,0.909,28,41,95,2.045
-92.17,-50.9609,0.355,2.741,0.424,1.0,0.014,0.577,0.119,12,293,50,3.756
-88.11,-50.9396,8.189,0.101,15.764,1.0,0.0009,0.845,0.325,11,318,164,7.009
-69.37,-50.8958,0.427,2.326,0.417,1.0,0.0111,0.25,0.349,3,113,445,3.533
-73.31,-50.8936,5.055,0.175,6.6,1.0,0.0011,0.743,0.874,25,111,286,4.153
-141.52,-50.8494,0.697,1.199,1.226,1.0,0.0102,0.434,0.773,23,182,296,7.811
-110.17,-50.7678,0.693,1.28,0.951,1.0,0.0101,0.778,0.735,8,108,262,4.171
-118.74,-50.7537,1.344,0.66,2.362,1.0,0.0061,0.403,0.869,8,57,168,5.225
-107.84,-50.7009,2.898,0.285,4.975,1.0,0.0023,0.917,0.8,27,375,9,4.631
-65.65,-50.6921,0.49,1.955,0.458,1.0,0.01,0.146,0.304,20,58,325,5.27
-120.71,-50.5714,0.555,1.685,0.789,1.0,0.0106,0.747,0.775,23,268,11,4.085
-104.04,-50.4979,0.732,1.183,0.964,1.0,0.0076,0.116,0.667,6,66,371,7.177
-57.91,-50.4096,0.295,3.312,0.358,1.0,0.0094,0.096,0.769,11,94,28,1.39
-64.34,-50.3981,0.343,2.603,0.745,1.0,0.0068,0.108,0.891,11,269,81,1.157
-74.29,-50.3073,1.86,0.486,2.992,1.0,0.0021,0.387,0.183,26,428,385,5.136
-113.77,-50.2925,0.493,1.965,0.595,1.0,0.014,0.387,0.985,12,223,37,4.049
-80.4,-50.2779,2.161,0.404,2.719,1.0,0.0025,0.119,0.869,16,292,146,5.618
-86.08,-50.2779,1.094,0.817,1.519,1.0,0.0028,0.973,0.736,13,50,176,2.968
-78.61,-50.1715,0.387,2.41,0.424,1.0,0.0126,0.125,0.429,9,115,41,3.553
-76.47,-50.1705,0.329,2.939,0.46,1.0,0.0104,0.891,0.835,27,277,75,1.09
-70.35,-50.0914,0.301,3.361,0.368,1.0,0.0128,0.555,0.079,30,289,413,2.43
-88.6,-49.9397,4.963,0.169,5.871,1.0,0.001,0.859,0.643,8,162,471,4.479
-64.09,-49.9278,0.338,2.803,0.522,1.0,0.0075,0.203,0.646,20,383,58,1.663
-75.98,-49.9227,0.72,1.275,0.909,1.0,0.005,0.253,0.276,7,125,202,7.613
-82.41,-49.9188,0.471,2.033,0.626,1.0,0.0138,0.489,0.231,5,36,475,5.286
-90.19,-49.8494,5.968,0.139,11.599,1.0,0.0012,0.924,0.415,11,258,237,5.828
-50.2,-49.7951,0.368,2.502,0.6,1.0,0.0049,0.235,0.027,10,182,240,3.196
-85.42,-49.7862,3.114,0.288,5.058,1.0,0.0018,0.623,0.437,18,265,311,6.549
-75.86,-49.753,6.699,0.136,13.88,1.0,0.0014,0.107,0.811,19,98,451,7.703
-78.4,-49.7293,0.394,2.423,0.379,1.0,0.0144,0.444,0.856,6,150,216,1.401
-92.86,-49.7129,0.361,2.537,0.502,1.0,0.0122,0.048,0.638,17,264,56,3.045
-74.94,-49.7076,2.252,0.404,3.49,1.0,0.0019,0.291,0.2,27,352,462,6.385
-106.89,-49.6646,3.61,0.224,7.389,1.0,0.0022,0.725,0.808,12,445,187,6.492
-91.25,-49.6052,0.375,2.596,0.429,1.0,0.0135,0.905,0.859,12,264,137,1.562
-104.56,-49.5,0.52,1.637,0.716,1.0,0.0093,0.632,0.012,28,36,403,5.532
-67.98,-49.4867,0.43,2.243,0.432,1.0,0.0102,0.203,0.337,0,34,487,4.173
-75.13,-49.4496,12.269,0.075,16.444,1.0,0.0006,0.875,0.631,2,381,435,5.412
-90.78,-49.4458,3.89,0.23,6.952,1.0,0.0018,0.821,0.767,25,391,223,4.878
-110.18,-49.425,0.588,1.588,0.806,1.0,0.011,0.365,0.868,24,180,237,3.097
-64.45,-49.3382,0.338,2.896,0.343,1.0,0.0113,0.478,0.197,7,272,12,2.306
-71.88,-49.2563,0.592,1.486,0.799,1.0,0.0047,0.244,0.048,13,431,288,6.665
-79.38,-49.1529,3.789,0.24,5.823,1.0,0.0015,0.255,0.389,9,316,439,6.412
-72.12,-49.0251,0.576,1.572,1.001,1.0,0.0049,0.495,0.339,25,349,15,2.343
-113.26,-49.0233,0.835,1.021,1.191,1.0,0.0073,0.232,0.957,2,76,494,4.762
-93.14,-48.9868,0.54,1.701,0.473,1.0,0.0128,0.01,0.561,13,279,29,5.582
-112.28,-48.9776,0.664,1.349,0.965,1.0,0.0101,0.584,0.423,16,114,109,7.295
-108.03,-48.9268,0.511,1.758,0.754,1.0,0.0105,0.393,0.374,22,243,165,6.824
-76.48,-48.9226,0.596,1.566,0.682,1.0,0.0088,0.961,0.446,19,154,348,2.349
-54.98,-48.901,0.445,2.021,0.929,1.0,0.0045,0.19,0.304,18,335,34,1.676
-81.15,-48.8619,5.548,0.167,9.816,1.0,0.0012,0.98,0.537,12,392,475,4.964
-177.17,-48.8421,0.725,1.123,0.906,1.0,0.0133,0.004,0.919,20,283,486,8.572
-79.31,-48.7971,0.465,1.989,0.609,1.0,0.0124,0.371,0.169,1,55,320,6.882
-71.82,-48.7373,1.171,0.743,1.882,1.0,0.0029,0.016,0.279,23,333,303,6.677
-119.49,-48.5252,0.771,1.229,1.024,1.0,0.0099,0.31,0.765,16,211,393,7.696
-89.42,-48.5099,0.529,1.744,0.649,1.0,0.0088,0.123,0.327,4,165,150,8.133
-69.7,-48.5075,1.035,0.9,1.473,1.0,0.0031,0.778,0.728,30,235,66,1.983
-67.8,-48.4593,1.687,0.507,2.061,1.0,0.0021,0.073,0.595,25,178,307,3.753
-67.94,-48.455,0.28,3.485,0.33,1.0,0.0124,0.473,0.147,30,340,132,2.104
-98.06,-48.4488,0.425,2.249,0.528,1.0,0.0144,0.325,0.079,6,210,245,8.711
-138.44,-48.4151,0.585,1.545,0.605,1.0,0.0148,0.069,0.769,23,104,394,7.161
-83.82,-48.4074,1.192,0.72,1.758,1.0,0.0034,0.45,0.419,12,221,412,4.375
-80.1,-48.3993,0.553,1.734,0.645,1.0,0.0121,0.995,0.477,13,145,395,2.516
-149.7,-48.3632,0.779,1.099,0.821,1.0,0.0114,0.779,0.679,8,343,2,5.581
-50.35,-48.3294,0.673,1.377,1.077,1.0,0.0028,0.292,0.224,3,248,34,2.371
-74.45,-48.327,0.308,3.223,0.364,1.0,0.0142,0.321,0.359,27,211,70,2.923
-78.86,-48.3028,1.647,0.519,2.589,1.0,0.0023,0.901,0.259,7,352,363,3.461
-60.36,-48.2289,0.396,2.435,0.418,1.0,0.0078,0.281,0.546,5,81,444,2.18
-61.19,-48.1706,0.228,4.316,0.383,1.0,0.0119,0.14,0.024,27,394,334,5.414
-105.97,-48.1551,0.508,1.806,0.657,1.0,0.011,0.218,0.972,17,204,417,3.197
-134.28,-48.1203,0.88,0.946,1.455,1.0,0.0087,0.006,0.938,1,209,253,7.263
-92.03,-48.078,0.567,1.632,0.86,1.0,0.009,0.303,0.369,26,65,177,8.573
-65.66,-48.0112,0.468,2.017,0.574,1.0,0.0147,0.627,0.033,23,34,236,3.71
-86.26,-47.9349,2.636,0.329,4.256,1.0,0.0021,0.451,0.469,12,395,256,5.636
-97.71,-47.9008,2.751,0.323,4.573,1.0,0.0026,0.485,0.948,17,225,417,6.01
-80.36,-47.7244,0.518,1.831,0.584,1.0,0.009,0.441,0.488,22,86,314,4.129
-64.61,-47.687,0.566,1.635,0.799,1.0,0.0051,0.339,0.505,27,104,33,3.188
-128.48,-47.6733,0.716,1.194,1.076,1.0,0.0095,0.402,0.79,12,196,111,7.219
-127.07,-47.6701,1.896,0.429,3.145,1.0,0.0047,0.167,0.822,12,237,261,8.945
-76.99,-47.5504,3.758,0.234,5.145,1.0,0.0013,0.457,0.45,27,65,69,7.793
-124.74,-47.5005,0.476,1.93,0.579,1.0,0.0144,0.311,0.586,28,375,27,6.756
-119.69,-47.4585,0.687,1.472,0.893,1.0,0.0147,0.041,0.501,5,10,385,7.007
-88.39,-47.3013,2.279,0.382,3.439,1.0,0.0022,0.598,0.38,17,131,197,8.178
-76.01,-47.284,0.38,2.469,0.629,1.0,0.0082,0.41,0.096,26,394,98,4.325
-154.25,-47.1995,0.737,1.228,1.136,1.0,0.0128,0.626,0.628,19,81,396,8.363
-100.91,-47.1363,0.59,1.526,0.765,1.0,0.0082,0.256,0.264,9,175,338,7.373
-83.46,-47.0077,0.352,2.683,0.457,1.0,0.0117,0.309,0.091,28,362,10,6.667
-67.33,-46.9994,1.293,0.688,1.93,1.0,0.0019,0.531,0.043,22,67,202,6.212
-58.91,-46.9949,0.486,1.904,0.674,1.0,0.0051,0.366,0.211,26,153,477,2.879
-71.09,-46.9917,0.299,3.49,0.351,1.0,0.0143,0.664,0.001,29,354,33,2.941
-66.12,-46.9868,0.602,1.507,0.909,1.0,0.0043,0.379,0.085,9,173,31,3.286
-141.32,-46.9787,0.827,1.031,0.931,1.0,0.0099,0.802,0.836,19,429,13,5.5
-96.67,-46.9749,0.55,1.738,0.753,1.0,0.0134,0.841,0.015,16,153,269,5.033
-94.18,-46.8551,0.546,1.675,0.577,1.0,0.0115,0.042,0.844,27,31,436,4.274
-67.92,-46.7827,0.47,2.05,0.557,1.0,0.0072,0.422,0.304,1,100,486,3.111
-62.16,-46.7138,0.29,3.511,0.304,1.0,0.0126,0.148,0.368,12,211,246,2.222
-60.91,-46.7071,0.396,2.472,0.395,1.0,0.0103,0.36,0.375,15,38,219,2.581
-72.1,-46.7048,20.109,0.045,20.816,1.0,0.0004,0.602,0.617,21,346,289,6.653
-78.33,-46.6516,2.003,0.44,2.969,1.0,0.0023,0.42,0.686,27,298,378,3.293
-67.4,-46.6255,0.702,1.287,0.92,1.0,0.0044,0.387,0.346,9,48,428,5.439
-142.85,-46.6164,0.714,1.165,1.28,1.0,0.0105,0.405,0.788,27,209,332,8.338
-64.79,-46.6039,0.409,2.286,0.574,1.0,0.0062,0.293,0.062,9,175,229,3.288
-103.63,-46.6025,0.693,1.314,1.138,1.0,0.0087,0.577,0.831,5,31,132,4.481
-113.43,-46.4962,0.605,1.625,0.644,1.0,0.0129,0.112,0.483,26,36,47,8.71
-71.23,-46.4016,1.342,0.658,1.776,1.0,0.0027,0.51,0.749,10,163,258,2.587
-92.24,-46.3944,3.168,0.273,5.501,1.0,0.0022,0.661,0.93,22,339,377,4.915
-85.34,-46.1765,1.994,0.437,4.068,1.0,0.0024,0.808,0.215,14,339,127,4.144
-94.53,-46.1284,0.537,1.779,0.689,1.0,0.0129,0.586,0.439,6,53,419,5.824
-84.33,-46.1094,1.443,0.625,2.077,1.0,0.003,0.581,0.235,18,226,293,5.587
-70.5,-46.1089,0.337,2.948,0.392,1.0,0.0118,0.153,0.118,12,218,195,6.481
-75.99,-45.9696,0.906,0.984,1.22,1.0,0.0042,0.321,0.489,22,75,205,6.191
-76.95,-45.7659,0.331,2.944,0.43,1.0,0.0117,0.227,0.244,23,267,115,4.414
-71.95,-45.7639,0.528,1.795,0.522,1.0,0.0106,0.079,0.858,7,96,462,2.772
-71.32,-45.7393,1.081,0.77,2.256,1.0,0.0029,0.667,0.582,14,337,232,1.509
-57.22,-45.6994,0.446,2.048,0.836,1.0,0.005,0.016,0.566,18,308,322,1.613
-63.5,-45.5931,0.244,3.899,0.297,1.0,0.0132,0.005,0.423,27,302,329,2.128
-101.4,-45.5776,0.616,1.432,0.668,1.0,0.0144,0.722,0.916,8,212,131,3.257
-140.13,-45.5445,0.689,1.29,0.884,1.0,0.0107,0.015,0.904,27,364,20,7.217
-78.76,-45.5251,1.423,0.615,2.153,1.0,0.0029,0.454,0.853,6,342,91,2.396
-76.4,-45.4107,0.508,1.798,0.58,1.0,0.0086,0.161,0.697,2,52,253,3.679
-70.89,-45.3233,0.496,1.911,0.521,1.0,0.0119,0.77,0.851,18,48,464,2.364
-51.67,-45.2526,0.248,4.132,0.323,1.0,0.0105,0.012,0.124,4,228,492,5.852
-104.53,-45.2247,29.802,0.029,9.527,1.0,0.0002,0.902,0.607,0,47,247,5.064
-101.11,-45.1508,2.306,0.365,4.051,1.0,0.003,0.593,0.95,6,393,149,5.234
-78.02,-45.1074,0.364,2.597,0.405,1.0,0.0115,0.18,0.214,9,173,156,4.293
-99.38,-45.018,1.757,0.484,3.057,1.0,0.0042,0.292,0.729,28,102,433,7.002
-70.89,-45.0053,0.426,2.056,0.796,1.0,0.0074,0.358,0.719,24,341,169,1.781
-68.82,-45.005,0.298,3.282,0.375,1.0,0.0119,0.558,0.147,29,382,150,2.311
-63.23,-44.9983,0.577,1.632,0.691,1.0,0.0057,0.342,0.922,23,73,122,2.084
-77.06,-44.998,0.605,1.588,0.636,1.0,0.0109,0.105,0.509,19,172,402,5.16
-80.24,-44.9704,0.427,2.162,0.639,1.0,0.0088,0.009,0.281,4,298,432,8.335
-97.43,-44.9576,2.289,0.373,3.846,1.0,0.003,0.298,0.544,26,360,273,8.727
-49.57,-44.9037,0.49,1.9,0.652,1.0,0.0041,0.266,0.581,25,117,188,1.338
-145.21,-44.8299,1.187,0.676,1.791,1.0,0.0077,0.032,0.906,22,258,451,8.853
-96.51,-44.8082,2.295,0.353,3.792,1.0,0.0021,0.461,0.424,19,80,472,8.765
-88.71,-44.7921,2.662,0.323,4.514,1.0,0.0023,0.565,0.755,1,395,426,4.073
-98.76,-44.764,0.576,1.601,0.705,1.0,0.0099,0.078,0.459,31,18,337,8.019
-56.65,-44.6867,0.311,3.129,0.42,1.0,0.008,0.821,0.105,5,410,331,1.337
-69.66,-44.6551,0.613,1.565,0.695,1.0,0.0108,0.384,0.463,13,90,222,4.714
-98.73,-44.6367,4.647,0.185,11.764,1.0,0.0018,0.965,0.47,11,195,304,7.17
-80.94,-44.4836,0.458,2.071,0.542,1.0,0.0091,0.884,0.458,9,134,266,1.797
-75.1,-44.4775,1.195,0.692,1.986,1.0,0.0023,0.473,0.104,27,43,440,7.451
-111.71,-44.4499,1.478,0.584,2.32,1.0,0.0051,0.27,0.681,31,20,209,7.48
-69.83,-44.4295,2.581,0.33,3.325,1.0,0.0011,0.516,0.043,30,97,66,7.364
-76.47,-44.4129,0.832,1.051,1.302,1.0,0.0026,0.95,0.06,9,18,62,3.741
-93.86,-44.4084,2.603,0.329,4.294,1.0,0.003,0.163,0.685,10,129,310,8.992
-120.89,-44.374,0.686,1.334,0.858,1.0,0.0091,0.983,0.613,13,27,229,3.246
-91.07,-44.3487,0.384,2.478,0.519,1.0,0.0138,0.359,0.031,23,250,131,8.151
-109.39,-44.3146,1.268,0.677,1.973,1.0,0.0058,0.229,0.901,27,74,449,6.393
-62.67,-44.1978,0.849,1.058,1.134,1.0,0.0033,0.288,0.246,9,31,260,8.881
-79.91,-44.1965,0.332,2.819,0.454,1.0,0.0116,0.87,0.989,18,334,295,1.004
-49.26,-44.1603,0.541,1.67,0.897,1.0,0.0035,0.088,0.372,10,204,3,2.555
-61.59,-44.1483,0.95,0.87,2.214,1.0,0.0027,0.616,0.403,21,356,37,1.348
-94.94,-44.0501,0.526,1.741,0.502,1.0,0.0121,0.057,0.557,21,33,102,6.143
-49.16,-43.9834,0.592,1.572,0.908,1.0,0.0033,0.261,0.806,29,280,8,1.129
-100.73,-43.9352,0.663,1.473,0.676,1.0,0.0139,0.038,0.457,13,87,310,8.727
-127.74,-43.9146,0.711,1.347,0.921,1.0,0.0128,0.608,0.657,13,64,364,6.144
-100.92,-43.7928,0.634,1.368,0.885,1.0,0.0092,0.682,0.516,13,105,239,5.441
-61.33,-43.7139,0.62,1.536,0.749,1.0,0.007,0.491,0.313,16,117,141,4.618
-48.51,-43.7031,0.337,2.782,0.569,1.0,0.0057,0.051,0.12,3,318,294,4.667
-144.76,-43.6927,1.008,0.76,1.95,1.0,0.0066,0.851,0.743,1,12,498,4.854
-69.18,-43.5849,0.342,2.834,0.364,1.0,0.011,0.603,0.027,9,148,157,2.125
-70.71,-43.4727,0.388,2.478,0.575,1.0,0.0084,0.269,0.106,29,377,174,5.685
-97.75,-43.4708,0.416,2.304,0.581,1.0,0.0131,0.183,0.917,17,261,89,3.095
-108.17,-43.4295,0.805,1.047,1.202,1.0,0.0074,0.373,0.98,5,269,440,4.581
-47.79,-43.4149,0.655,1.423,0.983,1.0,0.0029,0.135,0.099,11,77,352,5.181
-53.02,-43.3808,0.336,2.864,0.436,1.0,0.0073,0.118,0.394,2,188,183,2.147
-101.83,-43.3642,0.679,1.302,1.012,1.0,0.0085,0.355,0.776,5,157,361,5.332
-61.01,-43.3457,0.274,3.598,0.435,1.0,0.0111,0.131,0.448,17,285,322,1.153
-87.71,-43.324,0.445,2.166,0.518,1.0,0.0115,0.116,0.613,17,173,365,3.563
-72.2,-43.3067,0.309,3.113,0.423,1.0,0.0116,0.969,0.105,3,421,228,1.683
-65.02,-43.3012,1.721,0.516,2.237,1.0,0.0021,0.361,0.494,28,219,269,3.893
-67.12,-43.2582,11.934,0.075,13.754,1.0,0.0005,0.717,0.183,15,303,203,6.555
-87.61,-43.2222,0.413,2.323,0.667,1.0,0.0104,0.732,0.096,22,345,436,3.639
-83.38,-43.202,0.556,1.78,0.762,1.0,0.0085,0.666,0.44,23,77,132,4.845
-81.5,-43.1674,0.658,1.318,0.911,1.0,0.0061,0.475,0.263,16,310,165,6.597
-75.68,-43.1594,0.344,2.786,0.469,1.0,0.0105,0.396,0.688,10,311,348,1.965
-88.29,-43.1348,0.73,1.191,0.902,1.0,0.0067,0.105,0.803,26,92,428,4.684
-81.78,-43.1076,0.629,1.409,0.732,1.0,0.0077,0.092,0.826,12,55,210,4.123
-89.31,-43.1025,0.712,1.281,1.041,1.0,0.0059,0.721,0.601,18,298,220,2.717
-64.0,-43.0729,0.285,2.981,0.631,1.0,0.0086,0.062,0.903,15,318,7,1.338
-62.65,-43.0172,0.984,0.897,1.715,1.0,0.0029,0.102,0.196,0,196,101,6.192
-77.07,-42.9826,0.531,1.711,0.767,1.0,0.0079,0.419,0.036,8,188,196,7.631
-57.56,-42.9624,0.873,1.021,1.605,1.0,0.0029,0.084,0.424,23,381,278,2.282
-143.84,-42.9558,0.522,1.683,0.72,1.0,0.0147,0.066,0.789,26,322,256,8.633
-41.74,-42.9529,0.573,1.591,0.959,1.0,0.0027,0.205,0.154,26,212,469,1.807
-90.07,-42.8515,1.656,0.538,3.107,1.0,0.0044,0.289,0.734,24,116,181,3.575
-81.83,-42.8205,0.668,1.426,0.685,1.0,0.0139,0.246,0.371,16,152,264,8.075
-57.41,-42.7707,0.259,3.817,0.262,1.0,0.0136,0.121,0.636,27,190,320,1.242
-60.07,-42.7704,10.839,0.093,10.555,1.0,0.0005,0.954,0.323,25,421,382,3.946
-80.33,-42.7284,0.566,1.643,0.787,1.0,0.0079,0.805,0.932,30,78,438,2.83
-119.85,-42.7279,0.522,1.761,0.73,1.0,0.0135,0.267,0.62,1,231,323,7.458
-63.69,-42.7149,0.322,3.165,0.361,1.0,0.014,0.443,0.239,10,165,38,2.907
-89.13,-42.6963,0.532,1.693,0.55,1.0,0.0106,0.307,0.37,19,357,438,4.695
-79.87,-42.6913,1.682,0.528,2.757,1.0,0.0027,0.49,0.215,6,291,459,5.88
-77.38,-42.6805,0.669,1.346,0.767,1.0,0.0067,0.104,0.608,7,170,5,4.965
-81.81,-42.6484,2.785,0.313,5.205,1.0,0.002,0.698,0.287,11,289,445,4.792
-127.08,-42.6285,0.69,1.302,0.891,1.0,0.0134,0.376,0.791,12,20,423,5.578
-61.66,-42.5835,0.403,2.362,0.39,1.0,0.0142,0.141,0.122,14,38,347,8.053
-52.59,-42.5461,0.297,3.27,0.304,1.0,0.011,0.08,0.157,26,167,42,4.584
-62.56,-42.4567,0.778,1.163,1.254,1.0,0.0034,0.253,0.056,23,222,29,7.01
-109.81,-42.435,0.511,1.915,0.566,1.0,0.0147,0.357,0.778,17,169,96,5.44
-95.72,-42.4027,0.717,1.228,0.898,1.0,0.0081,0.11,0.569,19,330,249,7.217
-60.62,-42.3451,14.085,0.068,11.472,1.0,0.0004,0.977,0.607,20,449,204,3.933
-76.58,-42.3122,0.343,2.809,0.385,1.0,0.0139,0.86,0.993,12,239,330,1.134
-112.31,-42.3056,0.73,1.166,1.204,1.0,0.0086,0.003,0.674,30,386,173,8.312
-126.65,-42.2682,0.787,1.272,0.99,1.0,0.0139,0.093,0.467,5,7,402,7.271
-66.39,-42.2197,6.498,0.141,7.371,1.0,0.0007,0.72,0.14,20,243,287,6.174
-51.68,-42.2115,0.286,3.318,0.308,1.0,0.0104,0.082,0.132,10,132,470,4.597
-95.44,-42.196,11.203,0.079,31.775,1.0,0.0012,0.905,0.988,2,429,336,8.804
-78.88,-42.1724,8.03,0.112,15.521,1.0,0.0013,0.459,0.947,15,52,499,6.966
-65.62,-42.1549,0.605,1.481,0.778,1.0,0.0061,0.1,0.69,14,25,450,3.558
-88.99,-42.0997,2.813,0.298,5.842,1.0,0.0022,0.665,0.518,11,358,426,4.458
-70.85,-42.0945,1.505,0.586,2.494,1.0,0.0025,0.557,0.218,2,293,143,4.514
-78.54,-42.0737,1.333,0.648,1.81,1.0,0.0031,0.461,0.493,13,224,70,6.678
-111.77,-42.0537,0.626,1.326,0.876,1.0,0.0091,0.841,0.152,13,59,279,4.772
-121.08,-42.0048,0.695,1.292,0.973,1.0,0.0107,0.117,0.898,1,124,389,6.585
-89.93,-42.0025,0.78,1.112,1.518,1.0,0.0066,0.454,0.597,6,34,322,6.902
-127.94,-41.9983,0.623,1.361,0.943,1.0,0.0108,0.078,0.692,27,316,378,8.421
-50.25,-41.8076,0.21,4.393,0.508,1.0,0.0103,0.187,0.427,11,320,104,1.134
-162.02,-41.7373,1.731,0.462,3.37,1.0,0.007,0.651,0.867,22,38,318,7.35
-76.37,-41.6511,1.185,0.763,1.736,1.0,0.0034,0.991,0.799,1,187,205,2.262
-72.41,-41.5935,0.635,1.567,0.864,1.0,0.0081,0.979,0.574,16,95,254,3.212
-58.57,-41.5193,1.304,0.678,1.722,1.0,0.0028,0.006,0.666,16,160,479,4.885
-98.93,-41.4588,0.547,1.663,0.764,1.0,0.0101,0.353,0.886,30,277,40,4.434
-103.8,-41.3839,2.902,0.264,8.361,1.0,0.0026,0.73,0.286,0,333,378,7.919
-99.71,-41.3359,0.443,2.208,0.517,1.0,0.0148,0.342,0.452,17,221,479,4.221
-87.27,-41.2272,1.918,0.437,2.743,1.0,0.003,0.339,0.865,27,203,130,5.133
-62.68,-41.2251,0.511,1.849,0.76,1.0,0.0054,0.654,0.312,26,247,196,2.089
-85.43,-41.1936,50.267,0.019,20.523,1.0,0.0002,0.819,0.95,0,126,190,6.975
-79.47,-41.066,2.518,0.35,4.281,1.0,0.002,0.847,0.411,29,221,272,5.377
-122.47,-41.0454,0.542,1.594,0.784,1.0,0.013,0.242,0.683,12,261,251,7.586
-88.78,-41.0211,2.615,0.324,4.223,1.0,0.0025,0.218,0.708,23,436,80,6.368
-67.59,-40.99,0.281,3.588,0.331,1.0,0.0145,0.527,0.558,29,387,48,1.708
-83.7,-40.9853,0.526,1.718,0.52,1.0,0.0112,0.324,0.616,8,299,265,3.482
-79.53,-40.8081,0.513,1.871,0.762,1.0,0.0115,0.606,0.684,20,40,325,3.777
-76.15,-40.7592,9.419,0.101,17.329,1.0,0.0009,0.676,0.598,30,220,345,8.424
-119.26,-40.747,0.637,1.398,1.031,1.0,0.0106,0.424,0.718,23,213,458,7.009
-56.52,-40.6848,0.3,3.287,0.371,1.0,0.0095,0.154,0.21,1,210,45,3.298
-106.03,-40.6794,0.713,1.216,1.187,1.0,0.0081,0.432,0.702,22,222,197,6.648
-114.45,-40.6409,1.268,0.692,2.026,1.0,0.007,0.014,0.718,15,20,486,8.267
-147.04,-40.5969,0.963,0.881,1.418,1.0,0.01,0.223,0.947,2,143,456,7.853
-98.36,-40.5709,0.673,1.335,1.016,1.0,0.0073,0.551,0.322,16,101,424,7.994
-100.54,-40.5587,0.874,1.008,1.12,1.0,0.0075,0.052,0.631,28,79,174,7.704
-74.53,-40.4828,0.476,2.043,0.556,1.0,0.0139,0.856,0.029,8,212,334,3.295
-74.7,-40.4793,0.614,1.531,0.591,1.0,0.0147,0.198,0.637,16,204,96,4.377
-57.43,-40.4106,0.592,1.545,0.793,1.0,0.0043,0.704,0.043,13,202,291,2.968
-144.54,-40.3723,0.722,1.176,1.009,1.0,0.012,0.298,0.981,25,169,448,7.236
-114.26,-40.3495,0.868,0.946,1.644,1.0,0.0076,0.54,0.956,23,200,490,5.567
