[0.],66,260,719,3,6,3
[0.],923,594,87,6,7,4
[0.],934,430,756,4,8,1
[0.],495,226,508,1,8,1
[0.],448,730,330,8,1,4
[0.],36,867,140,0,5,3
[0.],232,367,138,8,4,2
[0.],702,253,828,5,6,7
[0.],723,774,729,3,4,2
[0.],496,812,413,6,8,8
[0.],985,254,96,1,8,3
[0.],805,182,286,0,7,4
[0.],556,287,586,3,2,2
[0.],268,648,144,5,6,4
[0.],334,312,216,7,1,8
[0.],70,201,828,6,7,3
[0.],680,478,132,8,4,5
[0.],610,794,768,2,6,3
[0.],699,49,420,7,4,1
[0.],642,68,327,4,5,1
[0.],829,873,877,5,1,0
[0.],607,7,593,3,5,0
[0.],104,653,828,7,1,8
[0.],133,283,559,6,4,8
[0.],488,657,799,0,8,3
[0.],197,366,730,4,6,8
[0.],770,547,523,7,7,2
[0.],158,991,58,1,2,0
[0.],195,413,970,8,4,2
[0.],406,6,926,6,1,4
[0.],828,372,494,6,1,7
[0.],959,835,159,1,6,2
