[-0.00067404],520,625,809,2,0,3
[-0.],897,597,106,7,7,6
[-0.],629,19,785,7,7,1
[-0.],894,597,106,7,7,8
[-0.],623,775,119,7,7,4
[-0.],629,19,162,7,7,1
[-0.],490,411,847,7,7,6
[-0.],491,626,851,7,7,3
[-0.],485,626,940,7,7,3
[-0.],629,735,785,7,7,1
[-0.],499,920,103,7,7,4
[-0.],683,626,953,7,7,3
[-0.],463,579,854,7,7,1
[-0.],681,734,785,7,7,0
[-0.],495,411,842,7,7,6
[-0.],485,626,939,7,7,3
[-0.],629,72,785,7,7,2
[-0.],676,822,119,7,7,4
[-0.],487,623,851,7,7,2
[-0.],927,757,159,7,7,3
[-0.],897,730,106,7,7,6
[-0.],613,19,974,7,7,1
[-0.],380,560,836,7,7,6
[-0.],839,577,849,7,7,1
[-0.],491,577,87,7,7,3
[-0.],613,775,965,7,7,4
[-0.],491,561,87,7,7,3
[-0.],464,16,825,7,7,1
[-0.],620,14,785,7,7,0
[-0.],496,889,117,7,7,1
[-0.],491,633,785,7,7,3
[-0.],485,626,841,7,7,3
[-0.],694,735,953,7,7,5
[-0.],431,626,981,7,7,0
[-0.],628,72,785,7,7,2
[-0.],897,603,86,7,7,6
[-0.],690,754,785,7,7,1
[-0.],829,738,493,7,7,1
[-0.],629,728,851,7,7,1
[-0.],625,777,119,7,7,4
[-0.],876,724,106,7,7,8
[-0.],482,575,973,7,7,8
[-0.],613,42,965,7,7,4
[-0.],613,671,974,7,7,1
[-0.],491,627,87,7,7,3
[-0.],613,19,165,7,7,4
[-0.],547,575,92,7,7,6
[-0.],613,19,786,7,7,1
[-0.],683,913,66,7,7,3
[-0.],620,175,885,7,7,0
[-0.],906,597,106,7,7,6
[-0.],501,608,791,7,7,3
[-0.],651,756,160,7,7,4
[-0.],463,3,823,7,7,1
[-0.],497,575,973,7,7,1
[-0.],489,597,110,7,7,3
[-0.],446,727,109,7,7,4
[-0.],629,32,785,7,7,1
[-0.],727,496,969,7,7,0
[-0.],431,626,984,7,7,0
[-0.],629,42,935,7,7,1
[-0.],516,633,973,7,7,3
[-0.],539,615,985,7,7,1
[-0.],629,708,785,7,7,1
