[-0.00109219],248,487,642,2,8,1
[-0.00031282],993,412,841,3,1,8
[-0.],929,409,170,7,7,4
[-0.],426,409,597,7,7,4
[-0.],925,409,169,7,7,8
[-0.],426,752,632,7,7,0
[-0.],427,752,611,7,7,0
[-0.],601,753,622,7,7,0
[-0.],925,423,169,7,7,8
[-0.],507,409,597,7,7,4
[-0.],413,423,164,7,7,8
[-0.],917,409,602,7,7,4
[-0.],986,396,841,7,7,8
[-0.],601,941,622,7,7,0
[-0.],906,769,910,7,7,0
[-0.],601,941,617,7,7,0
[-0.],395,801,634,7,7,0
[-0.],986,397,776,7,7,8
[-0.],976,929,676,7,7,4
[-0.],917,402,602,7,7,4
[-0.],601,753,610,7,7,0
[-0.],426,633,604,7,7,7
[-0.],925,468,611,7,7,0
[-0.],426,672,604,7,7,7
[-0.],986,397,638,7,7,8
[-0.],426,303,597,7,7,4
[-0.],609,772,347,7,7,0
[-0.],843,986,442,7,7,5
[-0.],929,402,604,7,7,4
[-0.],893,409,157,7,7,8
[-0.],601,753,607,7,7,0
[-0.],395,801,772,7,7,0
[-0.],888,978,350,7,7,0
[-0.],613,409,597,7,7,0
[-0.],917,409,895,7,7,5
[-0.],986,367,854,7,7,8
[-0.],843,402,169,7,7,8
[-0.],613,796,577,7,7,1
[-0.],601,757,610,7,7,0
[-0.],929,397,124,7,7,4
[-0.],426,303,612,7,7,4
[-0.],352,382,560,7,7,4
[-0.],422,469,604,7,7,0
[-0.],888,988,350,7,7,0
[-0.],995,397,638,7,7,8
[-0.],925,986,442,7,7,5
[-0.],976,925,676,7,7,4
[-0.],906,769,912,7,7,0
[-0.],986,409,822,7,7,8
[-0.],601,941,597,7,7,0
[-0.],925,423,210,7,7,8
[-0.],610,752,607,7,7,0
[-0.],917,409,169,7,7,8
[-0.],967,300,602,7,7,5
[-0.],928,671,611,7,7,7
[-0.],623,966,625,7,7,0
[-0.],395,757,772,7,7,0
[-0.],507,388,597,7,7,4
[-0.],430,672,604,7,7,7
[-0.],601,750,610,7,7,0
[-0.],928,671,602,7,7,7
[-0.],602,409,169,7,7,8
[-0.],394,941,617,7,7,1
[-0.],502,633,599,7,7,0
