reward,StopLoss,enter_at,close_at,typeMA,MA_period,ATR_period,ATR_multi
-0.07230271,0.0091,0.391,0.869,28,11,647,14.264
-0.07228368,0.0141,0.472,0.984,28,11,568,12.6
-0.07202504,0.0028,0.294,0.93,18,4,530,11.117
-0.0719127,0.004,0.383,0.938,23,7,742,14.285
-0.07129042,0.0046,0.679,0.94,28,11,660,12.331
-0.07120783,0.0027,0.31,0.777,29,84,650,14.999
-0.07042066,0.0074,0.464,0.977,28,16,772,13.532
-0.07039479,0.0097,0.487,0.769,29,11,503,14.736
-0.0702459,0.0129,0.568,0.994,19,15,172,14.917
-0.07016279,0.0016,0.276,0.983,22,9,486,11.356
-0.06978765,0.0139,0.316,0.994,24,19,461,13.58
-0.06964637,0.0121,0.512,0.997,20,23,574,14.798
-0.069284,0.0015,0.151,0.836,12,35,17,12.162
-0.06915777,0.0064,0.533,0.883,20,24,428,14.955
-0.06903365,0.0091,0.5,0.921,21,5,775,13.806
-0.06857339,0.0095,0.462,0.773,29,11,562,14.808
-0.06828096,0.0077,0.468,0.838,24,16,640,11.577
-0.06819598,0.0076,0.041,0.729,24,38,127,14.929
-0.06786345,0.0138,0.323,0.997,24,21,388,14.81
-0.0677178,0.0045,0.377,0.773,29,11,750,14.397
-0.06740016,0.0108,0.489,0.905,30,10,840,14.741
-0.0671235,0.0133,0.658,0.997,25,18,526,13.995
-0.06689583,0.0074,0.464,0.932,28,16,784,13.533
-0.06662505,0.0067,0.445,0.902,29,13,644,12.612
-0.06651371,0.005,0.28,0.97,22,5,190,13.55
-0.06578581,0.0092,0.479,0.718,24,5,728,11.121
-0.06576934,0.0089,0.431,0.879,27,5,531,13.356
-0.06572471,0.0084,0.654,0.89,23,5,622,11.856
-0.06510327,0.0086,0.19,0.94,4,14,573,12.935
-0.06487434,0.0119,0.397,0.849,24,16,814,13.293
-0.06460297,0.0054,0.388,0.923,2,23,681,12.183
-0.06423373,0.0112,0.533,0.863,23,6,641,13.858
-0.06414355,0.0076,0.341,0.991,22,13,113,10.202
-0.06402615,0.0088,0.379,0.944,29,13,730,12.634
-0.06397299,0.0082,0.43,0.902,24,31,879,12.617
-0.06383923,0.0133,0.644,0.997,23,18,526,13.973
-0.06364901,0.0074,0.396,0.84,24,27,748,14.01
-0.06363977,0.0136,0.486,0.927,30,19,401,14.723
-0.06343881,0.0138,0.444,0.991,24,8,650,13.876
-0.06300633,0.0036,0.329,0.691,27,6,888,14.763
-0.06248793,0.0137,0.529,0.995,30,11,754,14.835
-0.06221553,0.0109,0.496,0.985,18,5,570,14.035
-0.06185307,0.011,0.499,0.879,25,6,626,13.934
-0.06183381,0.0052,0.321,0.772,30,5,601,9.93
-0.06178434,0.0093,0.289,0.827,24,16,646,13.776
-0.06172645,0.0106,0.501,0.957,28,12,861,14.66
-0.06166195,0.0138,0.482,0.825,27,4,894,13.073
-0.06159826,0.0073,0.515,0.924,29,15,604,13.531
-0.06128788,0.0142,0.293,0.996,24,16,542,14.133
-0.06124917,0.0131,0.448,0.985,23,5,670,12.249
-0.06110276,0.0091,0.551,0.928,21,9,597,13.779
-0.0610173,0.0085,0.464,0.879,30,12,784,13.532
-0.06073643,0.0065,0.717,0.978,29,16,766,13.206
-0.06065577,0.0132,0.53,0.997,8,58,254,14.685
-0.0606069,0.0048,0.469,0.94,28,11,728,12.826
-0.06054718,0.009,0.385,0.939,28,4,754,10.61
-0.06039749,0.0076,0.478,0.977,30,16,771,13.532
-0.06033483,0.0064,0.412,0.753,11,5,521,14.818
-0.06020501,0.0068,0.399,0.799,24,16,599,13.924
-0.06010775,0.0117,0.45,0.946,23,4,651,11.247
-0.06003607,0.011,0.531,0.886,25,6,630,13.938
-0.05963336,0.0135,0.439,0.714,24,9,731,10.61
-0.05955384,0.0079,0.364,0.862,24,22,759,14.79
-0.05948262,0.0078,0.364,0.988,24,16,654,13.849
-0.05923613,0.0092,0.406,0.909,24,33,512,12.619
-0.05920544,0.0078,0.365,0.863,24,31,634,14.534
-0.05903414,0.0044,0.377,0.917,1,4,210,12.248
-0.05888583,0.012,0.47,0.86,28,11,615,14.749
-0.05886762,0.0086,0.444,0.867,29,9,653,13.858
-0.05877251,0.01,0.644,0.885,23,6,486,11.984
-0.05868873,0.0081,0.631,0.932,30,13,564,12.79
-0.05863082,0.0103,0.283,0.647,24,3,857,12.373
-0.05860265,0.013,0.24,0.846,24,8,833,13.85
-0.05838082,0.0128,0.552,0.999,28,10,611,14.78
-0.05827461,0.0069,0.678,0.987,30,13,594,11.39
-0.05801831,0.0121,0.458,0.901,29,6,810,12.204
-0.05761444,0.0135,0.496,0.997,20,18,592,14.035
-0.05750844,0.0065,0.631,0.914,29,13,595,12.759
-0.05716606,0.0025,0.424,0.973,1,23,246,12.071
-0.05707139,0.0089,0.141,0.858,22,6,606,14.853
-0.05669291,0.0089,0.468,0.934,28,20,754,14.119
-0.0565659,0.0137,0.529,0.995,30,11,765,14.835
-0.05629552,0.0082,0.435,0.904,24,17,872,12.617
-0.05628208,0.007,0.6,0.92,29,14,546,12.517
-0.05611603,0.0106,0.5,0.936,30,21,607,14.839
-0.05595224,0.0129,0.416,0.958,25,10,755,14.747
-0.05579705,0.0068,0.593,0.982,28,12,742,11.951
-0.05569375,0.0076,0.383,0.84,24,27,763,14.028
-0.05538643,0.0128,0.628,0.997,23,10,537,13.973
-0.0552472,0.0109,0.494,0.993,30,6,691,12.333
-0.05500784,0.0082,0.43,0.969,24,21,871,12.617
