[-0.00471241],983,456,944,5,2,4
[-0.00468762],872,891,604,6,2,2
[-0.00446078],983,456,943,5,2,4
[-0.00131898],988,456,949,5,2,4
[-0.00105849],983,452,948,5,2,4
[-0.00072843],986,456,951,5,2,4
[-0.00069606],986,456,944,5,2,4
[-0.00015001],961,881,938,2,1,0
[-8.71385382e-05],986,452,948,5,2,4
[-2.56229449e-05],983,456,949,5,2,4
[4.72288674e-05],674,937,764,3,1,5
[4.73895147e-05],660,805,793,3,1,0
[5.90680404e-05],935,263,932,1,8,8
[5.99578621e-05],589,719,837,8,8,8
[7.05779207e-05],872,763,765,1,2,8
[7.10170187e-05],613,613,918,3,1,8
[7.50296498e-05],872,763,772,1,6,8
[7.56065452e-05],884,454,911,5,8,8
[8.53851564e-05],854,643,775,1,6,8
[9.72230587e-05],614,622,918,3,1,5
[0.00011331],587,754,693,8,8,8
[0.00011425],872,561,787,1,6,8
[0.00013151],485,414,914,1,1,8
[0.0001362],983,706,952,5,8,5
[0.00014082],984,762,932,1,6,8
[0.00014537],931,454,944,5,8,2
[0.00015493],838,657,933,3,8,8
[0.00016348],873,719,940,8,3,0
[0.00016933],926,263,935,1,8,8
[0.00017009],767,821,880,3,8,8
[0.00017062],667,731,859,2,1,0
[0.00017405],868,428,957,8,8,8
[0.00018709],723,397,763,1,3,8
[0.00018719],872,773,956,1,6,8
[0.00019219],834,657,933,3,8,8
[0.00019974],889,893,938,8,8,5
[0.00020768],987,780,772,1,6,8
[0.00021851],958,785,944,1,6,8
[0.00022346],884,977,499,2,8,8
[0.00022778],667,646,859,2,1,0
[0.00023133],594,711,947,8,8,1
[0.00023368],685,774,644,8,8,8
[0.00023512],549,713,959,8,8,1
[0.00023535],988,983,963,2,8,8
[0.00023824],587,447,693,8,8,8
[0.0002385],865,457,948,8,1,0
[0.00023855],932,458,944,8,8,2
[0.00024496],668,779,771,8,8,8
[0.0002465],872,763,765,1,6,8
[0.0002503],909,454,944,5,8,2
[0.00025054],991,456,949,1,2,4
[0.00025882],872,657,938,8,2,0
[0.00025926],613,645,774,3,1,5
[0.00026025],810,567,756,3,1,8
[0.00026436],685,805,795,8,3,0
[0.00026807],873,871,940,8,3,0
[0.00027887],634,763,585,8,8,8
[0.00028299],597,438,772,1,2,8
[0.00028932],889,895,938,8,8,8
[0.00028964],789,779,772,8,8,0
[0.0002898],613,591,834,8,5,8
[0.00029296],871,881,938,2,1,0
[0.00029417],910,281,839,8,8,2
[0.00029953],587,449,748,8,6,8
