[-1327.76381588],548,588,9,4,7,4
[-455.85686941],908,347,17,1,0,4
[-421.00429714],929,398,12,1,0,4
[-312.68571834],936,595,10,5,2,4
[-223.58209484],19,355,17,1,0,4
[-183.16995996],92,556,70,4,7,4
[-149.5417201],605,565,8,4,0,4
[-144.18830933],710,723,735,3,7,7
[-108.91547869],154,192,14,0,0,6
[-102.75819675],605,297,16,1,0,4
[-98.83494853],91,347,17,1,0,4
[-81.3253749],605,554,66,4,7,4
[-69.48834643],446,297,16,0,0,4
[-61.44081864],136,534,14,4,7,3
[-59.56133059],131,709,786,5,7,7
[-42.91657264],929,200,12,1,0,4
[-40.43234524],649,728,167,1,7,3
[-39.39122021],650,728,167,1,7,3
[-38.75870506],143,347,17,1,0,4
[-36.71533764],129,399,770,5,7,7
[-35.68347829],186,547,678,5,7,7
[-35.62094601],605,565,70,4,7,4
[-35.62094601],605,557,70,4,7,4
[-35.38939612],594,588,10,4,7,4
[-33.96483574],614,564,70,4,7,4
[-33.04709163],135,699,54,0,7,4
[-33.04709163],135,194,54,0,7,4
[-31.3088917],546,174,125,3,8,7
[-24.77434924],145,345,742,5,7,7
[-21.52259756],210,597,269,5,2,4
[-21.29540477],929,399,12,1,0,4
[-21.05301976],932,738,14,2,7,2
